state,year,quarter,txn_amount,qoq_amt,user_growth,value_user_gap,avg_ticket,anomaly_score,is_anomaly
jammu-&-kashmir,2020,2,8265648939.258549,1.8137007943254662,0.14942181754889794,1.6642789767765682,3136.8615248916126,0.6982521264719206,True
jammu-&-kashmir,2019,4,1929695997.8225973,-0.4846214724072846,0.022646953854097873,-0.5072684262613825,3938.733850326165,0.6828327137574131,True
manipur,2023,4,6800325298.0,0.8846411191714536,0.04165281809251575,0.8429883010789379,3218.0225714556123,0.6804168544956529,True
manipur,2023,3,3608286601.0,-0.1916697342936191,0.041887344916015534,-0.23355707920963464,4169.125732832031,0.6752728043790045,True
manipur,2020,1,2598590380.876943,1.1638732588420013,0.1417114020520347,1.0221618567899666,3173.6531597750163,0.663482484393471,True
jammu-&-kashmir,2019,3,3744230491.7824683,-0.3862060312589438,0.04319122677215992,-0.42939725803110373,3353.464667891718,0.6562487645021208,True
andaman-&-nicobar-islands,2020,3,338019446.3303604,0.9925104984683166,0.2636808315499848,0.7288296669183318,2877.1775178567145,0.6536783187974502,True
chandigarh,2023,1,12824894394.0,-0.5399925647405766,0.04295823686227518,-0.5829508016028517,1306.5821611607232,0.6342197651466731,True
andaman-&-nicobar-islands,2020,4,627282656.3148526,0.8557590787299949,0.2675940486270716,0.5881650301029233,2793.7463259632414,0.6327483339036994,True
jammu-&-kashmir,2024,3,144470345977.0,0.11938927095673768,0.8254460825745658,-0.7060568116178281,1208.3977914636448,0.6326282243272066,True
ladakh,2023,2,7191103886.0,0.8682941270646094,0.042751214062401566,0.8255429130022078,2442.7838998034863,0.6311158580817878,True
manipur,2023,2,4463876653.0,-0.4800718269450198,0.04306724164571363,-0.5231390685907334,2779.030844110365,0.6303065205610705,True
meghalaya,2022,3,9603300797.12155,0.8182933626150692,0.05017355515794075,0.7681198074571285,2203.013833411112,0.6296953495487574,True
goa,2020,4,6899792747.579934,1.0484230844541313,0.11079202125643728,0.9376310631976941,1815.075296998626,0.62616831785517,True
assam,2024,3,333558308550.0,-0.034028574066367945,0.49216400896352375,-0.5261925830298917,1129.3830641609272,0.6252545051452284,True
manipur,2023,1,8585564092.0,-0.4505575397561892,0.04409250521693209,-0.49465004497312126,2634.915567629711,0.6249613705548461,True
jammu-&-kashmir,2019,2,6100142201.563506,0.024917813274163203,0.18942881532556077,-0.16451100205139757,2656.4456286434397,0.6176560648020024,True
nagaland,2020,3,2009649143.154795,0.7664535290846433,0.32948811489574137,0.4369654141889019,2729.318601251353,0.6108734094950948,True
goa,2020,2,2183616430.0167723,-0.3597129809281753,0.0988491962235265,-0.4585621771517018,1473.3339293490365,0.5993276564509401,True
ladakh,2019,2,259255506.997425,0.696033240025729,0.1978818847178656,0.49815135530786336,3769.7828621739222,0.5970362616978263,True
meghalaya,2024,3,16292956696.0,-0.0298701354608214,0.44593005783699136,-0.47580019329781276,1345.3996586657577,0.5969853696070583,True
andaman-&-nicobar-islands,2024,3,7663845009.0,0.05044898041769841,0.530549220406968,-0.48010023998926954,1451.6920034095751,0.5960183538171798,True
ladakh,2024,2,10125723348.0,0.6639397389708519,0.03561159375720768,0.6283281452136442,1900.7022706748317,0.5942976645258443,True
ladakh,2022,2,3543318177.9962697,0.7497513976271235,0.05432902305064213,0.6954223745764814,3169.12954520525,0.594141574131516,True
jammu-&-kashmir,2020,1,2937643176.5340166,0.5223346992732287,0.09213549223528927,0.43019920703793946,3187.4430916246397,0.5888261574661919,True
arunachal-pradesh,2024,3,31601956705.0,0.06381144001155814,0.37249959554116585,-0.3086881555296077,1292.6646683281015,0.5856474827405742,False
west-bengal,2020,1,96653305190.93817,0.09579760864546127,0.09882942286573027,-0.0030318142202689913,1458.909424097322,0.5781353567467072,False
ladakh,2024,3,12652871712.0,0.24957706991858064,0.44130005493608104,-0.1917229850175004,1830.06684548557,0.5710209957568894,False
arunachal-pradesh,2023,1,16394578454.0,0.6927962124652727,0.046030432454452486,0.6467657800108202,2038.4104408587777,0.5683706136046325,False
goa,2021,4,18627257115.869656,0.7776770900035317,0.06690560066599538,0.7107714893375363,1679.8324425546318,0.5659627053006699,False
andhra-pradesh,2023,1,2249051316530.0,0.5785861730801314,0.046362094398678444,0.5322240786814529,1963.32394516058,0.5591114141811431,False
puducherry,2020,3,3598080229.434603,0.8357262029294656,0.11570031298904548,0.7200258899404202,2078.7313374382857,0.5581925460024586,False
telangana,2023,1,2372581734284.0,-0.20336449506455112,0.044740448779584385,-0.2481049438441355,1647.2470424123724,0.5581545424172497,False
andhra-pradesh,2024,3,3226645607489.0,0.014055398434184019,-0.17444099869478336,0.18849639712896737,1542.8372340354347,0.5578921381949212,False
telangana,2022,3,2706325865752.0728,0.38685338456458807,0.05111647270826136,0.3357369118563267,1662.1934504257856,0.5567344789115429,False
chandigarh,2020,2,3847015729.6900754,-0.24957554918611213,0.07499192999389548,-0.3245674791800076,2517.6639745093785,0.5537865007415175,False
sikkim,2020,1,1053476271.9444021,-0.10457486240538727,0.12540334724433166,-0.22997820964971893,1994.7744101590972,0.55205111064851,False
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,824441276.565071,-0.022443891187902243,0.1284262659038511,-0.15087015709175333,1683.7152543113348,0.5456554118114552,False
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,12614091200.0,0.5650934821298828,0.048971757060734866,0.5161217250691479,1068.6298906682784,0.5449833234776389,False
ladakh,2020,3,835487500.0581932,0.5950719123934671,0.10119923068220382,0.4938726817112633,3660.8543438327297,0.5441620521218298,False
telangana,2024,3,3551316976598.0,0.025934838302734242,-0.04517005695955134,0.07110489526228558,1360.5859924244191,0.5410469334924074,False
lakshadweep,2023,1,85321961.0,0.5565760157616482,0.04395920126418629,0.5126168144974619,2890.31033197832,0.5394944757528334,False
andaman-&-nicobar-islands,2020,2,169645001.41414705,0.05058753820086004,0.1530597856739988,-0.10247224747313877,2694.4029956822696,0.5394388100371021,False
manipur,2024,1,9242973323.0,0.35919576166722367,0.04509244323117012,0.31410331843605355,2403.541671130685,0.5389609916597127,False
ladakh,2021,1,983419813.2468792,-0.11560061159415658,0.07811512189104586,-0.19371573348520243,3570.683562067713,0.5344655055486505,False
odisha,2019,2,44754854871.67384,0.2632933428648385,0.12141774657327531,0.1418755962915632,1516.495611133748,0.5335871476125367,False
mizoram,2020,3,707944175.5046005,0.5484565694094077,0.22926188505416212,0.31919468435524556,2779.4889557822266,0.5320564361769559,False
lakshadweep,2021,1,27042782.914081153,-0.10190636661767072,0.09523809523809534,-0.19714446185576606,2976.6409371580794,0.5313040079875789,False
ladakh,2021,3,2213984743.9345884,0.551214317681417,0.0821074512312121,0.46910686645020494,3746.249484226537,0.5305621240745019,False
uttarakhand,2019,2,8588532850.918491,0.19558682666461968,0.15460486303578502,0.04098196362883466,1784.3428540689015,0.5246059908849097,False
odisha,2020,1,91956798199.33316,0.15278325518135727,0.0878799359729161,0.06490331920844117,1712.9814894008405,0.5243893655631799,False
ladakh,2024,4,10854417654.0,-0.14213801411535243,-0.0021736219134054213,-0.139964392201947,1900.5214333589433,0.5238900969472979,False
bihar,2019,2,63132438283.54189,0.5211599320900517,0.14701911205637752,0.3741408200336742,2107.1905520449754,0.5236927060691567,False
ladakh,2019,4,324689360.02811164,-0.01944908755280228,0.10045184182983169,-0.11990092938263397,3833.1329543138813,0.5236857020198693,False
mizoram,2024,3,3923888231.0,0.033016014015551765,0.31136761105281563,-0.27835159703726386,1662.5193864433868,0.5230834716142444,False
telangana,2019,2,155676443182.4351,0.6297228535213919,0.13594427021036792,0.493778583311024,1737.2590644040808,0.5182820081970293,False
telangana,2020,2,321531839352.4309,-0.13413969386101687,0.08705153060975745,-0.22119122447077433,2114.5739171244663,0.5164685275535139,False
madhya-pradesh,2023,1,1062026599901.0,-0.18493728625629324,0.04752106186613858,-0.23245834812243182,1445.7859436573904,0.5163622596463323,False
lakshadweep,2019,2,9242524.136988886,0.05194478487692877,0.23375706214689274,-0.18181227726996396,3158.757394733044,0.5163086544127026,False
ladakh,2022,4,2894477572.678949,-0.19713799671611631,0.03947252661316347,-0.2366105233292798,2671.730091491149,0.5141250186066407,False
delhi,2023,1,611403109580.0,-0.17923105799661643,0.04541076083460016,-0.2246418188312166,1492.1256363981702,0.5132122527800665,False
tamil-nadu,2020,2,95826508896.82855,-0.17794658253330997,0.11758413622496966,-0.29553071875827963,1847.4321511334476,0.5127589894598021,False
andaman-&-nicobar-islands,2019,4,136838530.5173779,0.19958271196427768,0.08478542476285988,0.1147972872014178,3891.991538933926,0.5122130222672986,False
andhra-pradesh,2019,2,113634518758.22998,0.35665843245347695,0.13352426210781365,0.2231341703456633,2014.4744374322079,0.5116852723407739,False
sikkim,2019,2,738894243.4359412,0.6133286315858955,0.20427098174910108,0.4090576498367944,1903.1697680735342,0.5116079497158131,False
jammu-&-kashmir,2024,2,129061756911.0,0.3735683370269842,0.038300339329165656,0.33526799769781856,1193.0387617602062,0.5115170252071598,False
lakshadweep,2022,3,47580009.61750025,-0.14928753424550356,0.05026078710289239,-0.19954832134839595,3121.8430298208946,0.5111515686015073,False
karnataka,2024,3,3907202566484.0,0.0322765503140654,-0.016387835481821544,0.048664385795886944,1198.111593287304,0.5086733398748421,False
jammu-&-kashmir,2020,4,15380905803.378204,0.28417890534461865,0.13602907501323935,0.1481498303313793,2672.874356476178,0.5071223574056313,False
assam,2020,3,29831391259.544064,0.5092046093353768,0.1094240700181075,0.3997805393172693,2406.2015366823816,0.5053808164614179,False
maharashtra,2020,2,296359517159.4149,-0.07386260731751781,0.09923025451699541,-0.17309286183451322,1603.7572200885893,0.5025338878107588,False
karnataka,2020,2,321104877020.13794,-0.09138933269449967,0.09627948084795301,-0.18766881354245268,1505.9670706524387,0.5006494841475476,False
andaman-&-nicobar-islands,2019,3,114071776.08729394,-0.051415313421363074,0.10123786296074733,-0.1526531763821104,3377.902756508556,0.49987845452732765,False
ladakh,2023,4,6942986945.0,-0.15848419473078235,0.036476107443849326,-0.19496030217463167,2203.97031094356,0.49984898969014935,False
lakshadweep,2024,3,192408087.0,0.3159452048401139,0.28105677346824054,0.03488843137187336,1221.8093130469017,0.4994372366066923,False
lakshadweep,2019,3,9651761.46376847,0.044277658431185696,0.2117916428162565,-0.1675139843850708,3109.459234461491,0.49922711465686725,False
madhya-pradesh,2019,2,68334566380.557884,0.42155541968953325,0.13824653673927245,0.2833088829502608,1672.9800869562932,0.4970967732543055,False
delhi,2020,3,175163962804.66064,0.6237914144767822,0.07782435733694792,0.5459670571398343,1815.3237069876873,0.4969413836587014,False
ladakh,2021,2,1427259095.4703197,0.451322290078793,0.07335631230423778,0.3779659777745552,3570.682923551521,0.49632424505108114,False
meghalaya,2020,2,1153735154.338397,0.029996668439802754,0.19678598414957738,-0.16678931570977462,1815.7762562475264,0.4958493013560382,False
tripura,2019,2,841821482.8473772,0.11220386946998961,0.18766302509085753,-0.07545915562086791,1580.713242214702,0.4957495162447024,False
bihar,2024,3,1780280473339.0,-0.05647840864861153,0.14801172335879031,-0.20449013200740185,1315.9226565392894,0.49469350088558695,False
chhattisgarh,2024,3,497360133758.0,0.002108952268123021,0.18216993306073914,-0.18006098079261612,1121.0892151449375,0.4945617225670982,False
puducherry,2022,3,10854317711.140947,-0.2122419342504026,0.05280677093602848,-0.2650487051864311,1541.2094933029418,0.4938624880626931,False
rajasthan,2019,2,89107313172.66544,0.4574030857225708,0.13896559271513054,0.3184374930074403,1781.8153447074897,0.4938118134501871,False
mizoram,2019,2,248016708.1350143,0.13685226531192196,0.21233629066328685,-0.07548402535136489,3277.566149978384,0.4933265419832104,False
assam,2020,2,19766300125.919445,-0.043647644931304685,0.16695121270594138,-0.21059885763724606,1881.5731264033595,0.4927483154323655,False
telangana,2020,3,505961144755.86993,0.5735957775593294,0.09064685950439788,0.48294891805493156,2140.5279603732547,0.48972510633318556,False
lakshadweep,2021,3,38803163.69876814,0.4170290575166371,0.07986111111111116,0.33716794640552594,2902.256073206293,0.4894745038364237,False
himachal-pradesh,2019,2,4875883973.610599,0.44193722657182155,0.18278794559135347,0.2591492809804681,1948.5562411673866,0.48931826845249304,False
delhi,2020,2,107873438203.33102,-0.19266405743976667,0.07218601831770899,-0.26485007575747566,1633.4061476336326,0.486987697551536,False
telangana,2024,4,3859050535418.0,0.08665336292081549,0.03088791672485547,0.05576544619596002,1367.2689839273746,0.486891225010074,False
nagaland,2020,4,2773084870.562686,0.37988508093976625,0.11023303640543936,0.2696520445343269,3270.8222458204064,0.48657579164107373,False
kerala,2020,3,40164150651.95419,0.5510940343039166,0.18047878086060787,0.3706152534433087,1845.8909571699292,0.4846719072704376,False
manipur,2019,2,722789942.1495004,0.09530545018575176,0.1830659017151124,-0.08776045152936063,2807.769028452949,0.48383557807031985,False
mizoram,2023,1,2955622739.0,0.45031977124680966,0.044261308045457914,0.40605846320135175,2807.939177936433,0.48345173843818284,False
andaman-&-nicobar-islands,2019,2,120254709.67566319,0.17551333839134742,0.16858464185846422,0.006928696532883194,3569.554147515901,0.483124798196578,False
goa,2020,3,3368343580.94466,0.5425527737574258,0.10292379464005807,0.43962897911736776,1758.4385640037463,0.4826921910291655,False
jammu-&-kashmir,2020,3,11977229760.872475,0.4490368329079877,0.12365520162215748,0.3253816312858302,3455.736366411382,0.48231351991080085,False
karnataka,2024,4,4151819803822.0,0.0626067456641044,0.030736508530689655,0.03187023713341475,1201.6648338886866,0.4817657653968883,False
manipur,2020,3,4615976120.870505,0.4429722300783958,0.199850577272896,0.2431216528054998,3250.3028661894264,0.48119373300535523,False
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,2700511100.8285055,0.5433351811823848,0.1065401237562793,0.43679505742610547,1485.6004352692391,0.4811308092587609,False
arunachal-pradesh,2019,2,752655874.3550282,0.23396301855487467,0.24595553360967815,-0.011992515054803476,2909.8720863039257,0.4775068817917414,False
andaman-&-nicobar-islands,2020,1,161476312.29727465,0.18005003186414537,0.09275808936825891,0.08729194249588645,3910.027417726637,0.47652684121026156,False
odisha,2019,4,79769373632.05055,0.39202446485213627,0.1351957943343205,0.25682867051781577,1227.3035887203462,0.4759155757871506,False
jharkhand,2019,2,18622701305.54632,0.36657945100327716,0.142816153350394,0.22376329765288316,1838.6960249491565,0.4747954408227447,False
andhra-pradesh,2020,3,467084130584.9084,0.5436527030790255,0.09586320918596258,0.4477894938930629,2279.5385072688605,0.4747655997466472,False
uttar-pradesh,2019,2,98917519370.67569,0.2926308938880582,0.1491081585733811,0.14352273531467707,1679.8851863539987,0.4747545030283158,False
andaman-&-nicobar-islands,2021,4,1932610101.323657,0.47524741334385134,0.07163118449732764,0.4036162288465237,3038.107569328034,0.4735459485033667,False
west-bengal,2020,3,156813355855.14105,0.566575882741005,0.09275011038402448,0.47382577235698053,1961.2823294500213,0.473530842171188,False
mizoram,2019,3,278793899.9513422,0.12409321955669839,0.1895037635907444,-0.065410544034046,2842.109608654375,0.4733293036925599,False
ladakh,2020,1,377639677.4457435,0.16307992788259962,0.1086109306857197,0.05446899719687992,3243.797639953474,0.4724597648045423,False
himachal-pradesh,2024,3,56615941598.0,-0.05403196515255637,-0.0692449427408135,0.015212977588257126,1138.2937586651083,0.4724511526052007,False
goa,2021,2,8012853587.076005,-0.17877891465589602,0.06854140535230302,-0.24732032000819903,1701.194039465112,0.4717222756392416,False
ladakh,2021,4,2153535138.780267,-0.027303532835955102,0.07199852234946436,-0.09930205518541946,3417.29540403129,0.4707705208269929,False
arunachal-pradesh,2020,3,2609938565.558217,0.42875924633235196,0.1606002230558654,0.26815902327648655,2710.703548569179,0.47040876434074974,False
delhi,2024,3,958203383588.0,0.06832924474074109,-0.06794039505392258,0.13626963979466367,1134.1771858631082,0.4703305826193941,False
lakshadweep,2023,3,94527061.0,-0.035314496129595696,0.04311140408701375,-0.07842590021660945,2160.2728934799,0.47009525981980105,False
odisha,2024,3,1177233944634.0,0.010640661594470524,-0.006193724278321655,0.01683438587279218,1149.7094980031889,0.4699435029763224,False
lakshadweep,2021,4,50998185.52838101,0.31427906044681664,0.06638925666729723,0.2478898037795194,3296.586007005883,0.46899296383123534,False
chandigarh,2024,3,19259257876.0,0.0969620886591891,-0.10525542577776192,0.20221751443695102,1087.5784480628809,0.4679532961693395,False
puducherry,2020,2,1960030980.487591,-0.11120890642603765,0.10693436346943375,-0.2181432698954714,1896.713010072346,0.4674922963149182,False
west-bengal,2020,2,100099431877.35535,0.0356545146553382,0.10544425792809231,-0.06978974327275411,1735.523418149509,0.46620377401006485,False
andhra-pradesh,2024,4,3452015568966.0,0.06984651830182997,0.028791191500050717,0.04105532680177926,1503.199402217569,0.4654604085568658,False
jharkhand,2024,3,609909540592.0,-0.016458828952498172,0.12086128123243789,-0.13732011018493606,1167.1214849997202,0.46520939912703707,False
ladakh,2020,4,1111963470.5079603,0.3309157473098161,0.11047756031574796,0.22043818699406814,3347.9362862819235,0.4647536460417453,False
manipur,2020,2,3198936212.8055105,0.23102749719483273,0.2149243970367698,0.016103100158062933,2953.5875981983686,0.4645576522905315,False
karnataka,2023,1,2470227226317.0,0.2970363170396908,0.04433627264437501,0.2527000443953158,1339.0963248857643,0.4645250270489009,False
andaman-&-nicobar-islands,2021,3,1310024395.8016033,0.45696351355960263,0.07870198888799429,0.37826152467160834,2912.692869597396,0.4642104934525597,False
ladakh,2022,1,2025040918.842209,-0.059666646540457724,0.062430361717035865,-0.12209700825749359,3214.274134492368,0.46379861453924054,False
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,21564631566.0,0.06078209936744172,-0.02014752061730163,0.08092961998474335,847.4574688549638,0.4637873689022967,False
nagaland,2019,2,520066682.1585043,0.1767766371717452,0.2407671903693125,-0.0639905531975673,2755.27637790395,0.46295188070080867,False
jammu-&-kashmir,2022,1,33147863626.15907,-0.14844419039038548,0.06350176069631597,-0.21194595108670145,2040.4573126460348,0.4619389698145005,False
ladakh,2024,1,6085390661.0,-0.12351978921947981,0.04199378344602178,-0.1655135726655016,2037.2229332051377,0.4617529303625145,False
west-bengal,2019,4,88203610254.64673,0.25039614789642184,0.12877812001009614,0.1216180278863257,911.1393700723579,0.4616345506705021,False
telangana,2024,1,3203769301073.0,0.028029565042336557,0.03945508349163607,-0.01142551844929951,1470.0334496992184,0.4615540977096949,False
karnataka,2022,3,1665918232611.024,-0.10777296963157001,0.05063885853096872,-0.15841182816253874,1400.2121210406528,0.4608329026434761,False
ladakh,2019,3,331129527.1938223,0.2772323760016069,0.10296767654015082,0.17426469946145606,3583.808034913008,0.4601538782780964,False
goa,2023,1,35096965775.0,0.40810370975197174,0.04324475387101523,0.3648589558809565,1450.583353344297,0.45948527972437536,False
ladakh,2020,2,523792998.6520243,0.38701791664166185,0.10973006905210303,0.2772878475895588,3379.091662809008,0.45895311028783714,False
west-bengal,2019,2,57105691119.11872,0.13836467243154726,0.15616910029968767,-0.017804427868140404,1214.406597018253,0.45859692979476874,False
uttar-pradesh,2024,3,2717475205234.0,0.004900425520572238,0.16706173830823534,-0.1621613127876631,1188.7697767404766,0.4571868746534775,False
goa,2022,3,19574265275.706333,-0.14422100459484677,0.051494061937902735,-0.1957150665327495,1484.1708864351951,0.4570665421535647,False
nagaland,2022,3,5364400495.05083,-0.06548191093559574,0.052316982992358874,-0.11779889392795462,2832.1438557524443,0.45668756593367404,False
andaman-&-nicobar-islands,2022,3,3310631772.1373878,0.23258747119528445,0.05106171613063459,0.18152575506464985,2089.5453500313924,0.4564540859638431,False
telangana,2024,2,3461542433312.0,0.0804593302497365,0.036989494424296776,0.04346983582543973,1432.008221727153,0.4563590301816345,False
mizoram,2021,1,1101105586.9459376,0.11614891286180384,0.08915166833902788,0.026997244522775965,3340.986382298225,0.45587844349278644,False
maharashtra,2024,3,3687268662139.0,0.031926471816000834,-0.013542487358178423,0.04546895917417926,1121.6353900363865,0.4537713896871728,False
punjab,2020,2,30284654252.213646,-0.03472698986291212,0.129958213687277,-0.16468520355018912,2150.7010827423705,0.45342986421450066,False
meghalaya,2020,3,1237059001.3830347,0.07222094839644488,0.1580635925145546,-0.08584264411810971,2070.1179281451236,0.45297793249888524,False
arunachal-pradesh,2019,3,912645034.7958702,0.21256614861066647,0.16961985712050898,0.042946291490157495,2465.0492250735215,0.4525221387382092,False
lakshadweep,2021,2,27383463.65795153,0.01259784338589598,0.06969630762508183,-0.05709846423918585,2405.4342636991855,0.45250707738313944,False
arunachal-pradesh,2021,1,3813779079.016644,0.06820645635197087,0.08624595749096375,-0.018039501138992886,3238.99923140792,0.45169624949551745,False
madhya-pradesh,2024,3,1761082466531.0,-0.010449901473153944,0.08319394460584562,-0.09364384607899956,1145.2418703026558,0.4515952182081389,False
andaman-&-nicobar-islands,2021,1,783706567.3897556,0.24936750522301865,0.1023360561874953,0.14703144903552334,3202.043568141448,0.4510641858463195,False
rajasthan,2024,3,2472257715905.0,-0.009946288232903111,0.023280636967926815,-0.033226925200829927,1277.3851835644316,0.4505592426826167,False
mizoram,2020,1,392077579.3496371,0.0634361385130846,0.1680524504509031,-0.1046163119378185,2552.4388502603174,0.4500074977284139,False
mizoram,2020,4,986522115.6939577,0.3935026938964439,0.15247017492497994,0.24103251897146394,3057.9687226066317,0.44942834689556316,False
telangana,2022,4,2978252562916.1475,0.10047817988411678,0.046938088218077434,0.05354009166603935,1636.8460456081143,0.449039864616025,False
karnataka,2019,3,214536720438.18845,0.3105318730933819,0.13928608640629037,0.17124578668709156,1256.557296296414,0.44889291454854563,False
tamil-nadu,2020,4,206473197500.99475,0.4354224531592734,0.125637934273374,0.3097845188858994,1857.112365331822,0.44884688912428916,False
haryana,2024,3,923206681798.0,0.019616977432208138,-0.021381481299153293,0.04099845873136143,1161.353594359586,0.44875081064487166,False
meghalaya,2020,1,1120134840.907814,0.5087281989351362,0.1377986604018795,0.3709295385332567,2230.087104098315,0.4483479856116315,False
lakshadweep,2022,1,54939432.65393007,0.07728210493598264,0.06243348705214613,0.014848617883836512,3350.5783163950764,0.4482001236417747,False
meghalaya,2022,4,8996541156.348656,-0.06318240504918493,0.04174794611393118,-0.10493035116311611,2287.7711685821796,0.4481425073966058,False
tamil-nadu,2019,2,64207676025.757675,0.14240328031617033,0.17999546718129666,-0.03759218686512633,1995.7789666674719,0.448024593298201,False
uttarakhand,2024,3,173414867549.0,-0.039853452393012856,0.00527830560421938,-0.045131757997232236,1088.750362369283,0.4477664413903438,False
manipur,2021,1,7070287514.479242,0.2620500018700378,0.08275040516393561,0.17929959670610218,3069.320637402619,0.44743264069053773,False
